"id","sigla_instituicao","uf_instituicao","pais_instituicao","qtd_formacoes"
11161,"UPE","PE","Brasil","3008"
12263,"UNINOVE","SP","Brasil","2955"
17206,"UFGD","MS","Brasil","2948"
20823,"UPF","RS","Brasil","2932"
20003,"PUCCAMPINAS","SP","Brasil","2888"
16843,"UC","","Portugal","2771"
2579,"UEPB","PB","Brasil","2641"
3775,"FURB","SC","Brasil","2612"
14993,"IME","RJ","Brasil","2563"
12359,"UFSJ","MG","Brasil","2547"
2431,"FMUSP","SP","Brasil","2511"
10237,"UNESA","RJ","Brasil","2474"
8233,"UCS","RS","Brasil","2444"
1886,"UNITAU","SP","Brasil","2431"
17258,"UNIR","RO","Brasil","2329"
1536,"ULBRA","RS","Brasil","2251"
21733,"FMRPUSP","SP","Brasil","2242"
5004,"UNISC","RS","Brasil","2145"
14224,"CEFETMG","MG","Brasil","1990"
7599,"UNIMONTES","MG","Brasil","1983"
14646,"UFVJM","MG","Brasil","1939"
3086,"UNICENTRO","PR","Brasil","1930"
13603,"UNIP","SP","Brasil","1909"
10078,"UNICAP","PE","Brasil","1903"
21047,"UL","","Portugal","1903"
7238,"UFERSA","RN","Brasil","1901"
2458,"UMINHO","","Portugal","1892"
16217,"UERN","RN","Brasil","1885"
9625,"UGF","RJ","Brasil","1881"
10066,"UNIJUI","RS","Brasil","1784"
18525,"UFTM","MG","Brasil","1777"
4593,"FGVSP","SP","Brasil","1757"
20611,"UNEMAT","MT","Brasil","1734"
18414,"UFCSPA","RS","Brasil","1638"
17798,"UNIFRAN","SP","Brasil","1635"
2753,"UNIFALMG","MG","Brasil","1603"
3270,"FOBUSP","SP","Brasil","1588"
15764,"UFAC","AC","Brasil","1550"
13389,"UNISUL","SC","Brasil","1522"
15869,"UCDB","MS","Brasil","1494"
858,"UNICSUL","SP","Brasil","1488"
18099,"UCAM","RJ","Brasil","1488"
20986,"UEA","AM","Brasil","1478"
267,"FCMSCSP","SP","Brasil","1466"
13087,"UNESC","SC","Brasil","1453"
4496,"UFRB","BA","Brasil","1448"
12815,"UFRA","PA","Brasil","1388"
11316,"UPORTO","","Portugal","1388"
9599,"UB","","Espanha","1373"
12671,"UTP","PR","Brasil","1359"
379,"IMPA","RJ","Brasil","1328"
12059,"UNIVASF","PE","Brasil","1264"
18236,"UEMA","MA","Brasil","1243"
4735,"PUCRJ","RJ","Brasil","1240"
16071,"UEMS","MS","Brasil","1234"
21393,"UNIVAP","SP","Brasil","1211"
9028,"FUMEC","MG","Brasil","1206"
11210,"UNISANTOS","SP","Brasil","1204"
17702,"UCPEL","RS","Brasil","1189"
16360,"ESALQ","SP","Brasil","1186"
6595,"USF","SP","Brasil","1181"
15622,"ESAO","RJ","Brasil","1175"
19940,"USAL","","Espanha","1162"
13298,"UNOESTE","SP","Brasil","1158"
2791,"UNIFACS","BA","Brasil","1147"
15645,"UEPA","PA","Brasil","1145"
15137,"FUCAPE","ES","Brasil","1131"
10205,"UNAERP","SP","Brasil","1126"
5893,"FAMERP","SP","Brasil","1117"
11033,"UA","","Portugal","1112"
2151,"UBA","","Argentina","1105"
2800,"CEFETRJ","RJ","Brasil","1103"
6010,"UNIPAMPA","RS","Brasil","1100"
18748,"URI","RS","Brasil","1065"
10545,"UEG","GO","Brasil","1061"
7428,"FEACUSP","SP","Brasil","1057"
9354,"UNIT","SE","Brasil","1046"
6127,"ESALQUSP","SP","Brasil","1044"
7776,"UNAMA","PA","Brasil","1042"
5858,"IPEN","SP","Brasil","1027"
3088,"UNIMARCO","SP","Brasil","1027"
13443,"UAA","","Paraguai","1013"
846,"UCM","","Espanha","1009"
7745,"FEEVALE","RS","Brasil","1007"
17460,"CBPF","RJ","Brasil","1007"
8792,"UAM","SP","Brasil","1006"
16344,"EST","RS","Brasil","1002"
17353,"UFRR","RR","Brasil","994"
19449,"UMSA","","Argentina","991"
7421,"UNICID","SP","Brasil","977"
8278,"UCSAL","BA","Brasil","977"
17422,"ULHT","","Portugal","972"
4541,"UNIMAR","SP","Brasil","971"
3173,"UTAD","","Portugal","969"
1689,"UNIFAP","AP","Brasil","955"
12073,"UNL","","Portugal","944"
6121,"IPT","SP","Brasil","929"
17896,"UMC","SP","Brasil","898"
510,"UCP","RJ","Brasil","889"
20192,"UNISO","SP","Brasil","886"
18678,"UNG","SP","Brasil","870"
1950,"UAB","","Espanha","857"
20947,"ECEME","RJ","Brasil","854"
4429,"UNOESC","SC","Brasil","847"
2804,"UNIVATES","RS","Brasil","841"
987,"EERPUSP","SP","Brasil","835"
5361,"UNIVILLE","SC","Brasil","828"
4410,"UA","","Paraguai","825"
17564,"UL","","Inglaterra","807"
21014,"UNIGRANRIO","RJ","Brasil","803"
13652,"UNICEUB","DF","Brasil","797"
1792,"UNISAL","SP","Brasil","796"
12141,"POSITIVO","PR","Brasil","793"
14651,"FSPUSP","SP","Brasil","791"
11422,"IUPERJ","RJ","Brasil","770"
1445,"UNINCOR","MG","Brasil","768"
9287,"USCS","SP","Brasil","768"
10726,"FAP","SP","Brasil","744"
5775,"UNOPAR","PR","Brasil","741"
9912,"EESCUSP","SP","Brasil","741"
157,"UNILASALLE","RS","Brasil","736"
5745,"UFOPA","PA","Brasil","733"
16629,"UNIVBRASIL","SP","Brasil","732"
6986,"UNOCHAPECO","SC","Brasil","724"
11399,"FEI","SP","Brasil","710"
18203,"ENSP","RJ","Brasil","708"
13049,"UVV","ES","Brasil","706"
16906,"UNIPAR","PR","Brasil","704"
4829,"UNIUBE","MG","Brasil","702"
